title,link,abstract,keyword
"Clare Sullivan, Eric Burger, E-residency and blockchain, Computer Law & Security Review, Volume 33, Issue 4, August 2017, Pages 470-481, ISSN 0267-3649, https://doi.org/10.1016/j.clsr.2017.03.016.
","(http://www.sciencedirect.com/science/article/pii/S0267364917300845)
","In December 2014, Estonia became the first nation to open its digital borders to enable anyone, anywhere in the world to apply to become an e-Resident. Estonian e-Residency is essentially a commercial initiative. The e-ID issued to Estonian e-Residents enables commercial activities with the public and private sectors. It does not provide citizenship in its traditional sense, and the e-ID provided to e-Residents is not a travel document. However, in many ways it is an international ‘passport’ to the virtual world. E-Residency is a profound change and the recent announcement that the Estonian government is now partnering with Bitnation to offer a public notary service to Estonian e-Residents based on blockchain technology is of significance. The application of blockchain to e-Residency has the potential to fundamentally change the way identity information is controlled and authenticated. This paper examines the legal, policy, and technical implications of this development.
","Keywords: E-Residency; Blockchain; KYC; Data protection; Digital identity; Right to identity
"
"Janusz J. Sikorski, Joy Haughton, Markus Kraft, Blockchain technology in the chemical industry: Machine-to-machine electricity market, Applied Energy, Volume 195, 1 June 2017, Pages 234-246, ISSN 0306-2619, https://doi.org/10.1016/j.apenergy.2017.03.039.
","(http://www.sciencedirect.com/science/article/pii/S0306261917302672)
","The purpose of this paper is to explore applications of blockchain technology related to the 4th Industrial Revolution (Industry 4.0) and to present an example where blockchain is employed to facilitate machine-to-machine (M2M) interactions and establish a M2M electricity market in the context of the chemical industry. The presented scenario includes two electricity producers and one electricity consumer trading with each other over a blockchain. All participants are supplied with realistic data produced by process flow sheet models. This work contributes a proof-of-concept implementation of the scenario. Additionally, this paper describes and discusses the research and application landscape of blockchain technology in relation to the Industry 4.0. It concludes that this technology has significant under-researched potential to support and enhance the efficiency gains of the revolution and identifies areas for future research.
","Keywords: Blockchain technology; Chemical industry; Electricity market; Machine-to-machine communications
"
"Ken Alabi, Digital blockchain networks appear to be following Metcalfe’s Law, Electronic Commerce Research and Applications, Volume 24, July–August 2017, Pages 23-29, ISSN 1567-4223, https://doi.org/10.1016/j.elerap.2017.06.003.
","(http://www.sciencedirect.com/science/article/pii/S1567422317300480)
","An analysis of some of the recent blockchain networks is presented to determine if they satisfy Metcalfe’s Law, as has been shown for some online social media networks. The value of the network was modeled based on the price of the digital currency in use on the network, and the number of users by the number of unique addresses each day that engage in transactions on the network. The Bitcoin, Ethereum, and Dash networks were analyzed. The analysis shows that the networks were fairly well modeled by Metcalfe's Law, which identifies the value of a network as proportional to the square of the number of its nodes, or end users. A new network model was also presented that shows the value to be proportional to the exponential of the root of the number of users participating in the network, and shows good agreement as well. Conditions for determining critical mass based on the new model were also presented. Finally, the potential for identifying value bubbles that can be spotted as deviations in value from the model was discussed and illustrated using the data from one of the networks. Those value bubbles show up where repeated extremely high value increases are not accompanied by any commensurate increase in the number of participating users, or any other development that could give rise to the higher value.
","Keywords: Blockchain; Cryptocurrency; Digital networks; Distributed ledger systems; Distributed transaction processing; Fintech; Metcalfe’s Law; Network effects; Online payments; Payment networks
"
"J. Göbel, H.P. Keeler, A.E. Krzesinski, P.G. Taylor, Bitcoin blockchain dynamics: The selfish-mine strategy in the presence of propagation delay, Performance Evaluation, Volume 104, October 2016, Pages 23-41, ISSN 0166-5316, https://doi.org/10.1016/j.peva.2016.07.001.
","(http://www.sciencedirect.com/science/article/pii/S016653161630089X)
","In the context of the ‘selfish-mine’ strategy proposed by Eyal and Sirer, we study the effect of communication delay on the evolution of the Bitcoin blockchain. First, we use a simplified Markov model that tracks the contrasting states of belief about the blockchain of a small pool of dishonest miners and the ‘rest of the community’ to establish that the use of block-hiding strategies, such as selfish-mine, causes the rate of production of orphan blocks to increase. Then we use a spatial Poisson process model to study values of Eyal and Sirer’s parameter γ , which denotes the proportion of the honest community that mines on a previously-secret block released by the pool in response to the mining of a block by the honest community. Finally, we use discrete-event simulation to study the behaviour of a network of Bitcoin miners, a proportion of which is colluding in using the selfish-mine strategy, under the assumption that there is a delay in the communication of information between miners. The models indicate that both the dishonest and the honest miners were worse off than they would have been if no dishonest mining were present, and that it is possible for the mining community to detect block-hiding behaviour, such as that used in selfish-mine, by monitoring the rate of production of orphan blocks.
","Keywords: Bitcoin; Blockchain; Block hiding strategies; Honest mining; Selfish-mine
"
"Steve Mansfield-Devine, Beyond Bitcoin: using blockchain technology to provide assurance in the commercial world, Computer Fraud & Security, Volume 2017, Issue 5, May 2017, Pages 14-18, ISSN 1361-3723, https://doi.org/10.1016/S1361-3723(17)30042-8.
","(http://www.sciencedirect.com/science/article/pii/S1361372317300428)
","Abstract: Mention the word ‘blockchain’ to most people and, assuming that they've heard of it at all, they will most likely associate it with Bitcoin, or perhaps another crypto-currency. As a decentralised, cryptographically authenticated record of transactions, the blockchain is the key concept that makes Bitcoin feasible. Yet, as Patrick Hubbard, technical product marketing director at SolarWinds, explains in this interview, the same concept has applications far beyond the contentious world of alternative currencies – in fact, far beyond finance altogether.
",
", Blockchain Technology: Will It Make a Difference?, The Electricity Journal, Volume 30, Issue 3, April 2017, Pages 86-87, ISSN 1040-6190, https://doi.org/10.1016/j.tej.2017.04.007.
","(http://www.sciencedirect.com/science/article/pii/S1040619017300994)
",,
"Prem Prakash Jayaraman, Xuechao Yang, Ali Yavari, Dimitrios Georgakopoulos, Xun Yi, Privacy preserving Internet of Things: From privacy techniques to a blueprint architecture and efficient implementation, Future Generation Computer Systems, Volume 76, November 2017, Pages 540-549, ISSN 0167-739X, https://doi.org/10.1016/j.future.2017.03.001.
","(http://www.sciencedirect.com/science/article/pii/S0167739X17303308)
","The Internet of Things (IoT) is the latest web evolution that incorporates billions of devices that are owned by different organisations and people who are deploying and using them for their own purposes. IoT-enabled harnessing of the information that is provided by federations of such IoT devices (which are often referred to as IoT things) provides unprecedented opportunities to solve internet-scale problems that have been too big and too difficult to tackle before. Just like other web-based information systems, IoT must also deal with the plethora of Cyber Security and privacy threats that currently disrupt organisations and can potentially hold the data of entire industries and even countries for ransom. To realise its full potential, IoT must deal effectively with such threats and ensure the security and privacy of the information collected and distilled from IoT devices. However, IoT presents several unique challenges that make the application of existing security and privacy techniques difficult. This is because IoT solutions encompass a variety of security and privacy solutions for protecting such IoT data on the move and in store at the device layer, the IoT infrastructure/platform layer, and the IoT application layer. Therefore, ensuring end-to-end privacy across these three IoT layers is a grand challenge in IoT. In this paper, we tackle the IoT privacy preservation problem. In particular, we propose innovative techniques for privacy preservation of IoT data, introduce a privacy preserving IoT Architecture, and also describe the implementation of an efficient proof of concept system that utilises all these to ensure that IoT data remains private. The proposed privacy preservation techniques utilise multiple IoT cloud data stores to protect the privacy of data collected from IoT. The proposed privacy preserving IoT Architecture and proof of concept implementation are based on extensions of OpenIoT - a widely used open source platform for IoT application development. Experimental evaluations are also provided to validate the efficiency and performance outcomes of the proposed privacy preserving techniques and architecture.
","Keywords: Internet of Things; IoT privacy and security; Secure IoT platform
"
"Karen Renaud, Stephen Flowerday, Contemplating human-centred security &amp; privacy research: Suggesting future directions, Journal of Information Security and Applications, Volume 34, Part 1, June 2017, Pages 76-81, ISSN 2214-2126, https://doi.org/10.1016/j.jisa.2017.05.006.
","(http://www.sciencedirect.com/science/article/pii/S2214212617302387)
","This position paper is a reflective look at the state of Human-Centred Security &amp; Privacy (HCSP) research and the paradigms that have informed and driven the research. It is important to reflect and examine, because, as Harrison et al. [1] argue, with respect to HCI, “the lack of clarity about the epistemological distinctions between paradigms is a limiting factor in the development of the field” (p. 1). We discuss the current state of play and then suggest possible explanations and suggestions for the way forward for our research field. This paper aims to prompt a discussion of the directions HCSP should take, and ways we could deploy to encourage maturation of the field.
",
"Roger Jardí-Cedó, Macià Mut-Puigserver, M. Magdalena Payeras-Capellà, Jordi Castellà-Roca, Alexandre Viejo, Time-based low emission zones preserving drivers’ privacy, Future Generation Computer Systems, Available online 27 June 2016, ISSN 0167-739X, https://doi.org/10.1016/j.future.2016.06.012.
","(http://www.sciencedirect.com/science/article/pii/S0167739X16301972)
","Nowadays, big cities try to fight high levels of pollution and traffic jams by limiting the access of vehicles to centric zones or Low-Emission Zones (LEZ). One of the most important drawbacks of LEZs is the citizens’ risk to be tracked by means of their interactions with the Electronic Road Pricing (ERP) system in use; another relevant problem is the significant error percentage on the detection of fraudulent drivers. The former shortcoming clearly affects the peace of mind of users regarding their privacy. The latter represents an important disadvantage for any entity willing to employ resources on managing a LEZ. In this article, a new ERP system specifically designed for cities with Low-Emission Zones is proposed. The new scheme is user-centric by design, in the sense that preserving the privacy of honest drivers is a fundamental objective. Regarding fraudulent drivers, the proposed system is able to detect them and revoke their anonymity.
","Keywords: Electronic road pricing; Privacy; Security; Low emission zone
"
"M. Huth, C. Vishik and R. Masucci, 8 - From Risk Management to Risk Engineering: Challenges in Future ICT Systems, In Handbook of System Safety and Security, edited by Edward Griffor,, Syngress, Boston, 2017, Pages 131-174, ISBN 9780128037737, https://doi.org/10.1016/B978-0-12-803773-7.00008-5.
","(http://www.sciencedirect.com/science/article/pii/B9780128037737000085)
","Information and communications technology (ICT) is an umbrella term that includes any communication device or application, encompassing: radio, television, cellular phones, computer and network hardware and software, satellite systems, and so on, as well as the various services and applications associated with them, such as videoconferencing and distance learning. Traditional and conventional approaches to the design, implementation, and validation of ICT systems typically deal with one core system concern or two system concerns at a time, for example, the functional correctness or reliability of an enterprise system, or security and privacy of a database. Additional aspects are often addressed by a separate engineering activity. This separation of concerns has led to system engineering practices that are not designed to reflect, detect, or manage the interdependencies of such aspects, for example, the interplay between security and safety in modern car electronics, or between security, privacy, and reliability in connected medical devices. Current trends and innovation in ICT, however, suggest a convergence of disciplines and risk domains in order to deal effectively and predictively with such interdependencies. But due to the inherent complexity of such interdependencies and the dynamic operational environments, identification and mitigation of composite risks in systems remains a challenge. The environment that requires risk management and mitigation be a central and integral part of engineering methods for future ICT systems. To address the requirements of the modern computing environment, we need a new approach to risk, where risk modeling is included in design as its integral part. In this chapter, we identify some of the key challenges and issues that a vision of risk engineering brings to current engineering practice; notably, issues of risk composition, the multidisciplinary nature of risk, the design, development, and use of risk metrics, and the need for an extensible risk language. The chapter provides an initial view on the foundational mechanisms we need to build in order to support the vision of risk engineering: risk ontology, risk modeling and composition, and risk language.
","Keywords: Risk management; risk engineering; risk modeling; liability; security; safety; privacy; blockchain
"
