title,link,abstract,keyword
"Prem Prakash Jayaraman, Xuechao Yang, Ali Yavari, Dimitrios Georgakopoulos, Xun Yi, Privacy preserving Internet of Things: From privacy techniques to a blueprint architecture and efficient implementation, Future Generation Computer Systems, Volume 76, November 2017, Pages 540-549, ISSN 0167-739X, https://doi.org/10.1016/j.future.2017.03.001.
","(http://www.sciencedirect.com/science/article/pii/S0167739X17303308)
","The Internet of Things (IoT) is the latest web evolution that incorporates billions of devices that are owned by different organisations and people who are deploying and using them for their own purposes. IoT-enabled harnessing of the information that is provided by federations of such IoT devices (which are often referred to as IoT things) provides unprecedented opportunities to solve internet-scale problems that have been too big and too difficult to tackle before. Just like other web-based information systems, IoT must also deal with the plethora of Cyber Security and privacy threats that currently disrupt organisations and can potentially hold the data of entire industries and even countries for ransom. To realise its full potential, IoT must deal effectively with such threats and ensure the security and privacy of the information collected and distilled from IoT devices. However, IoT presents several unique challenges that make the application of existing security and privacy techniques difficult. This is because IoT solutions encompass a variety of security and privacy solutions for protecting such IoT data on the move and in store at the device layer, the IoT infrastructure/platform layer, and the IoT application layer. Therefore, ensuring end-to-end privacy across these three IoT layers is a grand challenge in IoT. In this paper, we tackle the IoT privacy preservation problem. In particular, we propose innovative techniques for privacy preservation of IoT data, introduce a privacy preserving IoT Architecture, and also describe the implementation of an efficient proof of concept system that utilises all these to ensure that IoT data remains private. The proposed privacy preservation techniques utilise multiple IoT cloud data stores to protect the privacy of data collected from IoT. The proposed privacy preserving IoT Architecture and proof of concept implementation are based on extensions of OpenIoT - a widely used open source platform for IoT application development. Experimental evaluations are also provided to validate the efficiency and performance outcomes of the proposed privacy preserving techniques and architecture.
","Keywords: Internet of Things; IoT privacy and security; Secure IoT platform
"
"Karen Renaud, Stephen Flowerday, Contemplating human-centred security &amp; privacy research: Suggesting future directions, Journal of Information Security and Applications, Volume 34, Part 1, June 2017, Pages 76-81, ISSN 2214-2126, https://doi.org/10.1016/j.jisa.2017.05.006.
","(http://www.sciencedirect.com/science/article/pii/S2214212617302387)
","This position paper is a reflective look at the state of Human-Centred Security &amp; Privacy (HCSP) research and the paradigms that have informed and driven the research. It is important to reflect and examine, because, as Harrison et al. [1] argue, with respect to HCI, “the lack of clarity about the epistemological distinctions between paradigms is a limiting factor in the development of the field” (p. 1). We discuss the current state of play and then suggest possible explanations and suggestions for the way forward for our research field. This paper aims to prompt a discussion of the directions HCSP should take, and ways we could deploy to encourage maturation of the field.
",
"L. Militano, A. Orsino, G. Araniti, M. Nitti, L. Atzori, A. Iera, Trust-based and social-aware coalition formation game for multihop data uploading in 5G systems, Computer Networks, Volume 111, 24 December 2016, Pages 141-151, ISSN 1389-1286, https://doi.org/10.1016/j.comnet.2016.08.001.
","(http://www.sciencedirect.com/science/article/pii/S1389128616302432)
","In this paper a trust-based coalition formation game is proposed to design opportunistic hop-by-hop forwarding schemes, relying on cellular Device-to-Device (D2D) communications, to enhance content uploading services. The User Equipments (UEs) are sources of data to be uploaded to a cellular base station (eNodeB) and are assumed to be rational self-interested players as they aim at maximizing their own utility. To this aim, the UEs cooperate to opportunistically implement proximity-based data exchanges where the presence of malicious nodes in the network is a constant threat for the successful cooperation. To cope with this issue, reliability and reputation notions are considered to model the level of trust among the players. Taking inspiration from the recent Social Internet of Things (SIoT) paradigm, social-awareness of the devices is spotted as a key parameter to effectively define the wished trustworthiness. The effectiveness of the proposed solution is validated through a simulative analysis showing a relevant reduction in the data loss due to malicious behavior of a subset of the devices. In particular, up to 86% reduction in terms of data loss is obtained with respect to the case where the proposed trust model is not implemented. Moreover, the trust-based and social-aware solution also guarantees higher gains in terms of the uploading time for the devices taking part of the cooperative D2D-based content uploading.
","Keywords: D2D; Trustworthiness; Social proximity; D2D communications; Game theory; 5G
"
"Rohit Talwar, April Koury, Artificial intelligence – the next frontier in IT security?, Network Security, Volume 2017, Issue 4, April 2017, Pages 14-17, ISSN 1353-4858, https://doi.org/10.1016/S1353-4858(17)30039-9.
","(http://www.sciencedirect.com/science/article/pii/S1353485817300399)
","Abstract: Security has always been an arms race between attacker and defender. He starts a war with a stick, you get a spear; he counters with a musket, you upgrade to a cannon; he develops a tank, you split the atom. While the consequences of organisational cyber-security breaches may not be as earth-shatteringly dramatic today, the arms race of centuries ago continues into the digital sphere of today.
",
"Michael P. Andersen, Gabe Fierro, David E. Culler, Enabling synergy in IoT: Platform to service and beyond, Journal of Network and Computer Applications, Volume 81, 1 March 2017, Pages 96-110, ISSN 1084-8045, https://doi.org/10.1016/j.jnca.2016.10.017.
","(http://www.sciencedirect.com/science/article/pii/S1084804516302521)
","To enable a prosperous Internet of Things (IoT), devices and services must be extensible and adapt to changes in the environment or user interaction patterns. These requirements manifest as a set of design principles for each of the layers in an IoT ecosystem, from hardware to cloud services. This paper gives concrete guidelines learned from implementing and deploying a full-stack synergistic IoT platform. We address hardware design concerns and present a reference platform, Firestorm. Upon this platform, we demonstrate firmware and personal-area networking concerns and solutions. Moving out towards larger scales we address local service discovery and syndication, and show how these principles carry through to global operation where security concerns dominate.
","Keywords: Internet of Things; Wireless sensor networks; Sensor motes; Middleware; Security; Trust; Embedded operating systems; Publish-subscribe
"
"Grzegorz Spyra, William J. Buchanan, Elias Ekonomou, Sticky policies approach within cloud computing, Computers & Security, Volume 70, September 2017, Pages 366-375, ISSN 0167-4048, https://doi.org/10.1016/j.cose.2017.07.005.
","(http://www.sciencedirect.com/science/article/pii/S016740481730144X)
","This paper discusses a secure document sharing approach, which addresses confidentiality, integrity and authenticity concerns related to cloud-based data sharing. This research is focused on a secure construct that would integrate with other cloud ready standards and products for data protection. Sticky policies, recently considered as one of the preferred cloud data protection techniques, are here combined with standardized OOXML data package. The defined model leverages the Identity Based Encryption (IBE) scheme to attach sticky policies to the data. This paper also shows several security features and functions that are suitable for secure data sharing in the cloud. Technologies used for proposed construction are not new, therefore only their unique combination with AES key derived from XACML sticky policy via IBE and OOXML wrapper constitutes novelty of this research.
","Keywords: IRM; Sticky policies; IBE; Cloud security; XACML; Cryptography
"
"Ilsun You, Jong-Hyouk Lee, SPFP: Ticket-based secure handover for fast proxy mobile IPv6 in 5G networks, Computer Networks, Available online 17 May 2017, ISSN 1389-1286, https://doi.org/10.1016/j.comnet.2017.05.009.
","(http://www.sciencedirect.com/science/article/pii/S1389128617302001)
","Recently, Chuang et al. introduced a secure password authentication mechanism, called SPAM, for seamless handovers in Proxy Mobile IPv6 (PMIPv6). SPAM aimed at providing high security properties while optimizing handover latency and computation overhead, but as pointed out in this paper SPAM is vulnerable to replay and malicious insider attacks as well as the compromise of a single node. In this paper, a new Security Protocol for Fast PMIPv6, called SPFP, is proposed that provides a ticket-based secure handover for mobile nodes (MNs). In SPFP, a ticket containing authentication materials is used for fast handover authentication when an MN changes its attachment point. Moreover, the MN’s anonymity is supported for preserving location privacy. Detailed operations of initial authentication and handover authentication are presented with message flows. The formal security analysis of SPFP is provided with results of qualitative analysis and quantitative analysis.
","Keywords: Secure authentication; Handover; F-PMIPv6; Formal security analysis; BAN Logic
"
"Rachel Nuwer, The next 1000 years, New Scientist, Volume 224, Issue 2992, 25 October 2014, Pages 36-39, ISSN 0262-4079, https://doi.org/10.1016/S0262-4079(14)62049-2.
","(http://www.sciencedirect.com/science/article/pii/S0262407914620492)
","Abstract: Eternal health, brain uploads, the end of privacy… What innovations will shape humanity's future?
",
"David Ferbrache, Passwords are broken – the future shape of biometrics, Biometric Technology Today, Volume 2016, Issue 3, March 2016, Pages 5-7, ISSN 0969-4765, https://doi.org/10.1016/S0969-4765(16)30049-2.
","(http://www.sciencedirect.com/science/article/pii/S0969476516300492)
","Abstract: The headline assertion – that ‘passwords are broken’ – was one of my somewhat hopeful security predictions for 2016, which KPMG was good enough to publish. The comment was somewhat tongue in cheek, but the truth is that passwords have become one of the weakest links in our security chain, compounded by our inability to memorise the long and complex passcodes demanded by our security systems (see box on page 6).
",
"Steve Saxby, Editor's foreword, Computer Law & Security Review, Volume 33, Issue 4, August 2017, Pages 417-418, ISSN 0267-3649, https://doi.org/10.1016/j.clsr.2017.06.001.
","(http://www.sciencedirect.com/science/article/pii/S0267364917302108)
",,
